,# actor_name
0,Katharine Hepburn
1,Ingrid Bergman
2,Meryl Streep
3,Bette Davis
4,Vivien Leigh
5,Grace Kelly
6,Audrey Hepburn
7,Elizabeth Taylor
8,Sophia Loren
9,Marilyn Monroe
10,Greta Garbo
11,Mary Pickford
12,Rita Hayworth
13,Olivia de Havilland
14,Shirley MacLaine
15,Jane Fonda
16,Lauren Bacall
17,Natalie Wood
18,Sally Field
19,Judy Garland
20,Judi Dench
21,Julie Andrews
22,Barbara Stanwyck
23,Kate Winslet
24,Diane Keaton
25,Cate Blanchett
26,Joan Crawford
27,Maureen O'Hara
28,Ava Gardner
29,Claudette Colbert
30,Deborah Kerr
31,Jodie Foster
32,Myrna Loy
33,Doris Day
34,Ginger Rogers
35,Marlene Dietrich
36,Susan Hayward
37,Nicole Kidman
38,Carole Lombard
39,Natalie Portman
40,Joan Fontaine
41,Jean Arthur
42,Barbra Streisand
43,Mae West
44,Shirley Temple
45,Lillian Gish
46,Jean Harlow
47,Julianne Moore
48,Angelina Jolie
49,Penélope Cruz
50,Susan Sarandon
51,Sandra Bullock
52,Brigitte Bardot
53,Faye Dunaway
54,Julia Roberts
55,Halle Berry
56,Laura Linney
57,Charlize Theron
58,Hilary Swank
59,Catherine Deneuve
60,Julie Christie
61,Tilda Swinton
62,Kim Novak
63,Jessica Lange
64,Vanessa Redgrave
65,Helen Mirren
66,Diane Lane
67,Gena Rowlands
68,Shelley Winters
69,Anne Bancroft
70,Gwyneth Paltrow
71,Sissy Spacek
72,Jennifer Jones
73,Jessica Tandy
74,Glenn Close
75,Sharon Stone
76,Marisa Tomei
77,Marion Cotillard
78,Michelle Pfeiffer
79,Renée Zellweger
80,Geena Davis
81,Annette Bening
82,Frances McDormand
83,Jennifer Connelly
84,Kathy Bates
85,Audrey Tautou
86,Juliette Binoche
87,Sigourney Weaver
88,Ellen Burstyn
89,Keira Knightley
90,Meg Ryan
91,Patricia Clarkson
92,Catherine Zeta-Jones
93,Amy Adams
94,Helena Bonham Carter
95,Naomi Watts
96,Michelle Williams
97,Rachel Weisz
98,Anne Hathaway
99,Jessica Chastain
107,Greer Garson
130,Emma Thompson
140,Viola Davis
143,Holly Hunter
144,Jane Wyman
147,Luise Rainer
152,Talia Shire
153,Jennifer Lawrence
156,Robin Wright
158,Uma Thurman
159,Léa Seydoux
161,Scarlett Johansson
167,Vera Farmiga
169,Maggie Gyllenhaal
173,Winona Ryder
175,Carrie-Anne Moss
179,Carrie Fisher
181,Amanda Plummer
182,Naomie Harris
184,Rebecca Hall
185,Emma Stone
186,Juno Temple
188,Daryl Hannah
189,Rachel McAdams
191,Jennifer Garner
192,Emily Mortimer
194,Carey Mulligan
196,Diane Kruger
198,Mélanie Laurent
199,Julia Stiles
200,Margot Robbie
201,Melissa Leo
202,Toni Collette
203,Emma Watson
204,Olivia Williams
207,Catherine Keener
208,Rosanna Arquette
209,Alice Braga
211,Zoe Saldana
212,Elliot Page
213,Elle Fanning
214,Kerry Washington
215,Cameron Diaz
216,Maggie Smith
217,Kristen Wiig
218,Joan Allen
219,Elizabeth Banks
221,Rooney Mara
222,Jennifer Jason Leigh
223,Saoirse Ronan
225,Lucy Liu
226,Kirsten Dunst
227,Connie Nielsen
228,Michelle Monaghan
229,Kelly Macdonald
230,Allison Janney
231,Piper Perabo
232,Vivica A. Fox
233,Katie Holmes
234,Jennifer Ehle
236,Liv Tyler
237,Reese Witherspoon
238,Bridget Moynahan
239,Lea Thompson
240,Emily Blunt
241,Stephanie Kurtzuba
244,Amy Ryan
245,Rosamund Pike
246,Sarah Paulson
249,Emily Watson
250,Kim Basinger
251,Octavia Spencer
252,Marcia Gay Harden
253,Alison Pill
254,Anna Kendrick
257,Franka Potente
258,Karen Allen
259,Frances Fisher
260,Isla Fisher
261,Laura Dern
262,Sean Young
263,Kristen Stewart
264,Beverly D'Angelo
265,Mary Steenburgen
266,Maria Bello
267,Abbie Cornish
268,Dakota Fanning
269,Jennifer Morrison
270,Heather Graham
272,Kate Mara
274,Alexandra Maria Lara
275,Mia Wasikowska
276,Chloë Sevigny
277,Louise Fletcher
278,Bonnie Bedelia
279,Abigail Breslin
280,Mary McDonnell
281,Lorraine Bracco
282,Natascha McElhone
283,Helen Hunt
284,Shelley Duvall
285,Monica Bellucci
286,Bryce Dallas Howard
287,Kim Dickens
288,Dianne Wiest
289,Olivia Colman
290,Andrea Riseborough
291,Madeleine Stowe
292,Juliette Lewis
293,Marisa Paredes
295,Miranda Richardson
296,Ashley Judd
297,Thandiwe Newton
298,Radha Mitchell
300,Eva Green
301,Veronica Cartwright
303,Paula Patton
304,Patricia Arquette
305,Catherine McCormack
306,Mary-Louise Parker
307,Zazie Beetz
308,Mila Kunis
309,Freida Pinto
310,Clémence Poésy
311,Nathalie Baye
312,Sophie Marceau
313,Rene Russo
314,Janet Leigh
316,Vera Miles
