,# director_name
88,Franco Zeffirelli
95,Zack Snyder
137,Bobby Farrelly
154,Wilfred Jackson
164,Alex Gibney
165,Bob Foss
170,David Yates
177,Frank Lloyd
179,Georges Méliès
186,Warren Beatty
187,Pier Paolo Pasolini
197,Terence Fisher
198,Chuck Jones
402,Béla Tarr
403,Yash Chopra
409,Cagan Irmak
411,Dusan Kovacevic
415,Jack Conway
417,Roberto Rossellini
421,Dariush Mehrjui
422,Ram Gopal Varma
423,Hideaki Anno
425,Nae Caranfil
431,Jules Dassin
432,Lucian Pintilie
433,Josef von Sternberg
435,Goran Markovic
438,Andrzej Wajda
440,Lloyd Bacon
441,Kenji Misumi
443,Marcel Carné
446,Abbas Kiarostami
448,Dragan Bjelogrlic
450,W.S. Van Dyke
451,Pietro Germi
453,Ettore Scola
456,Zeki Demirkubuz
461,Andrew Stanton
465,Nesli Çölgeçen
466,Luis García Berlanga
471,Roberto Benigni
472,Mamoru Oshii
473,Kaneto Shindô
478,Alain Resnais
480,Victor Sjöström
481,Tomás Gutiérrez Alea
483,William Dieterle
486,Farhan Akhtar
488,Jacques Becker
490,Vladimir Menshov
491,Hiroshi Teshigahara
492,Claude Berri
496,Max Ophüls
501,Edward Sedgwick
505,Wen Jiang
506,Henry King
508,Bozidar 'Bota' Nikolic
509,Isao Takahata
511,Shohei Imamura
515,Orhan Aksoy
516,Shimit Amin
517,Yasuzô Masumura
521,Aki Kaurismäki
522,Jirí Menzel
523,John Cromwell
524,Chang-dong Lee
532,Erich von Stroheim
537,Yoshishige Yoshida
538,Marco Tullio Giordana
540,Goran Paskaljevic
545,Yôji Yamada
547,Serdar Akar
548,Edward Yang
549,Mikhail Kalatozov
752,Tom Tykwer
753,Louis Leterrier
754,Paul Haggis
757,Duncan Jones
759,Richard Kelly
763,Sean Penn
764,Nicolas Winding Refn
767,Glenn Ficarra
768,John Requa
770,Jaume Collet-Serra
772,John G. Avildsen
773,Evan Goldberg
774,Alexander Payne
775,Martin Campbell
776,Jean-Marc Vallée
777,Peter Berg
779,Tate Taylor
781,Bennett Miller
783,Taylor Hackford
784,Alejandro Amenábar
785,Andrew Niccol
786,Terry George
790,Tom McCarthy
795,Alex Proyas
796,Gavin O'Connor
797,Roger Donaldson
799,Yorgos Lanthimos
801,Jonathan Dayton
802,Stephen Daldry
804,Joe Wright
805,Rian Johnson
807,Derek Cianfrance
808,James Wan
811,Barry Sonnenfeld
812,Dan Gilroy
813,Matthew Vaughn
814,Peter Farrelly
817,Ivan Reitman
818,Tony Gilroy
823,Ben Stiller
824,John Lee Hancock
825,Eric Bress
826,J. Mackye Gruber
828,John Hillcoat
829,Gabriele Muccino
833,James Marsh
834,Florian Henckel von Donnersmarck
835,Jan de Bont
836,Alex Garland
838,Brad Anderson
840,Jean-Jacques Annaud
841,F. Gary Gray
842,Oliver Hirschbiegel
845,George Clooney
846,Allen Hughes
849,J.A. Bayona
850,Benny Safdie
851,Josh Safdie
852,Phillip Noyce
854,Michael Cimino
855,Jerry Zucker
856,Renny Harlin
857,John Madden
858,Lenny Abrahamson
859,Noah Baumbach
861,Gregory Hoblit
862,Robert Mulligan
863,Craig Gillespie
864,Tom Ford
865,James L. Brooks
866,Jonathan Levine
867,Pierre Morel
868,John Carney
869,Roland Emmerich
870,Adam McKay
871,Stephen Frears
872,Baltasar Kormákur
873,Frank Oz
875,Martin Brest
876,Kevin Macdonald
877,Richard Attenborough
878,Albert Hughes
879,Guy Hamilton
884,Oriol Paulo
886,Brad Silberling
887,Brett Ratner
888,Mike Judge
890,Jeff Nichols
892,Todd Haynes
893,Peyton Reed
894,Phyllida Lloyd
895,Adrian Lyne
896,Sylvester Stallone
897,Kevin Costner
898,Michel Hazanavicius
900,Kevin Reynolds
902,J.C. Chandor
903,Scott Cooper
904,Terence Young
906,Norman Jewison
907,Theodore Melfi
908,Mark Romanek
910,David Frankel
911,Mathieu Kassovitz
915,John Glen
919,Jaco Van Dormael
920,Joe Carnahan
921,Anne Fletcher
922,Chuck Russell
923,Barry Jenkins
924,Roger Michell
926,Michael Spierig
927,Peter Spierig
928,Ted Demme
930,Andrew Davis
931,Nicholas Stoller
932,Gil Junger
933,Garry Marshall
934,Paul Weitz
936,Kenneth Lonergan
937,Niels Arden Oplev
938,Zach Braff
939,Robert De Niro
942,Scott Derrickson
943,Robert Stromberg
944,Ted Kotcheff
945,Lee Daniels
946,Julie Taymor
947,Paul Feig
948,Brad Furman
951,Jon Avnet
953,Sharon Maguire
954,Daniel Espinosa
955,Robert Schwentke
956,Jim Abrahams
957,Joseph Gordon-Levitt
959,Richard LaGravenese
960,Garth Davis
961,Ruben Fleischer
963,Adam Elliot
965,Chris Weitz
966,Iain Softley
968,Lewis Gilbert
969,Brian Helgeland
