# actor_name
Morgan Freeman
Brad Pitt
Leonardo DiCaprio
Robert De Niro
Matt Damon
Michael Caine
Christian Bale
Tom Hanks
Gary Oldman
Al Pacino
Edward Norton
Bruce Willis
Harrison Ford
Johnny Depp
Cillian Murphy
Ralph Fiennes
Kevin Spacey
Samuel L. Jackson
Jack Nicholson
Philip Seymour Hoffman
Robert Duvall
Tom Hardy
Ryan Gosling
Tom Cruise
Steve Buscemi
Liam Neeson
Jake Gyllenhaal
Joseph Gordon-Levitt
Mark Ruffalo
Harvey Keitel
George Clooney
Russell Crowe
Hugo Weaving
Woody Harrelson
Jude Law
Clint Eastwood
Casey Affleck
Bradley Cooper
Tim Robbins
John Carroll Lynch
Tom Wilkinson
Denzel Washington
Ed Harris
Ben Kingsley
Joaquin Phoenix
Willem Dafoe
John Hurt
John Cazale
Matthew McConaughey
Ben Affleck
Jared Leto
Keanu Reeves
Bill Murray
Christoph Waltz
Tim Roth
Ian Holm
Heath Ledger
Orlando Bloom
Barry Pepper
Alec Baldwin
Michael Fassbender
Pete Postlethwaite
Martin Sheen
Michael Madsen
Jamie Foxx
Anthony Hopkins
Chiwetel Ejiofor
Guy Pearce
Alan Rickman
Dustin Hoffman
Joe Pesci
Geoffrey Rush
Mark Wahlberg
Paul Giamatti
Ethan Hawke
Laurence Fishburne
John Goodman
Christopher Lloyd
Mykelti Williamson
Marlon Brando
Brendan Gleeson
Paul Dano
Stellan Skarsgård
Don Cheadle
Owen Wilson
Daniel Brühl
Daniel Craig
Ken Watanabe
Benicio Del Toro
Jeremy Renner
Stanley Tucci
Harry Dean Stanton
Robert Downey Jr.
Max von Sydow
Aaron Eckhart
Richard Harris
Zach Galifianakis
Kyle Chandler
Will Smith
Bruce Dern
Morgan Freeman
Brad Pitt
Leonardo DiCaprio
Robert De Niro
Matt Damon
Michael Caine
Christian Bale
Tom Hanks
Gary Oldman
Al Pacino
Edward Norton
Bruce Willis
Harrison Ford
Johnny Depp
Cillian Murphy
Ralph Fiennes
Kevin Spacey
Samuel L. Jackson
Jack Nicholson
Philip Seymour Hoffman
Robert Duvall
Tom Hardy
Ryan Gosling
Tom Cruise
Steve Buscemi
Liam Neeson
Jake Gyllenhaal
Joseph Gordon-Levitt
Mark Ruffalo
Harvey Keitel
George Clooney
Russell Crowe
Hugo Weaving
Woody Harrelson
Jude Law
Clint Eastwood
Casey Affleck
Bradley Cooper
Tim Robbins
John Carroll Lynch
Tom Wilkinson
Denzel Washington
Ed Harris
Ben Kingsley
Joaquin Phoenix
Willem Dafoe
John Hurt
John Cazale
Matthew McConaughey
Ben Affleck
Jared Leto
Keanu Reeves
Bill Murray
Christoph Waltz
Tim Roth
Ian Holm
Heath Ledger
Orlando Bloom
Barry Pepper
Alec Baldwin
Michael Fassbender
Pete Postlethwaite
Martin Sheen
Michael Madsen
Jamie Foxx
Anthony Hopkins
Chiwetel Ejiofor
Guy Pearce
Alan Rickman
Dustin Hoffman
Joe Pesci
Geoffrey Rush
Mark Wahlberg
Paul Giamatti
Ethan Hawke
Laurence Fishburne
John Goodman
Christopher Lloyd
Mykelti Williamson
Marlon Brando
Brendan Gleeson
Paul Dano
Stellan Skarsgård
Don Cheadle
Owen Wilson
Daniel Brühl
Daniel Craig
Ken Watanabe
Benicio Del Toro
Jeremy Renner
Stanley Tucci
Harry Dean Stanton
Robert Downey Jr.
Max von Sydow
Aaron Eckhart
Richard Harris
Zach Galifianakis
Kyle Chandler
Will Smith
Bruce Dern
Donald Sutherland
Robin Williams
Adrien Brody
Jim Carrey
John Travolta
Tom Sizemore
Elliott Gould
Sam Rockwell
Sean Connery
Javier Bardem
Ewan McGregor
Jonathan Pryce
Josh Brolin
Sean Penn
Danny DeVito
John C. Reilly
Forest Whitaker
Mark Hamill
Michael Stuhlbarg
Matthew Modine
William H. Macy
Sterling Hayden
Jean Reno
Christopher Plummer
Hugh Jackman
Colin Farrell
Viggo Mortensen
Franco Nero
David Oyelowo
Ving Rhames
Michael Shannon
Ben Whishaw
Gary Sinise
John Cleese
Giovanni Ribisi
Michael Keaton
Elijah Wood
Christopher Walken
Kevin Bacon
Tommy Lee Jones
Benedict Cumberbatch
David Strathairn
Tom Berenger
Jeff Daniels
Domhnall Gleeson
Ray Liotta
Michael J. Fox
James Caan
Michael Sheen
Sam Shepard
Rutger Hauer
Jon Voight
J.K. Simmons
Jonah Hill
Alan Arkin
Val Kilmer
Christian Berkel
Gene Hackman
Bill Paxton
Mel Gibson
Albert Finney
James Stewart
Andy Garcia
Simon Pegg
Nicolas Cage
Vincent Cassel
Timothy Spall
Mahershala Ali
Danny Aiello
Terrence Howard
John Lithgow
Steve Carell
Alec Guinness
Clive Owen
Colin Firth
Richard Conte
Nick Nolte
Kurt Russell
Jim Broadbent
Jeff Goldblum
Michael Nyqvist
Joel Edgerton
David Carradine
Jason Statham
Emile Hirsch
Daniel Radcliffe
Rupert Grint
Liam Hemsworth
John Hawkes
Kevin Costner
Christopher Lee
John Malkovich
Eric Bana
Jeffrey Wright
Daniel Day-Lewis
Haley Joel Osment
Shea Whigham
Don Johnson
Josh Hutcherson
Jeff Bridges
Bryan Cranston
Topher Grace
Seth Rogen
Ben Stiller
Hal Holbrook
Rod Taylor
Jean Dujardin
Gabriel Byrne
Chris Hemsworth
James Franco
John Turturro
Chris Pratt
Ian McKellen
Michael Douglas
Jason Clarke
Danny Huston
Eli Wallach
Mathieu Amalric
David Hemmings
Rupert Graves
Jesper Christensen
Michael Biehn
Sam Worthington
Thomas Kretschmann
F. Murray Abraham
Robert Pattinson
Hugh Grant
Lee J. Cobb
Eli Roth
Til Schweiger
August Diehl
Alexander Fehling
Henry Fonda
Pierce Brosnan
Liev Schreiber
James Woods
Sebastian Koch
Peter Sarsgaard
Oscar Isaac
Nick Frost
William Hurt
Dev Patel
Jesse Eisenberg
David Thewlis
Patrick Swayze
Shia LaBeouf
Greg Kinnear
Vin Diesel
Alfred Molina
Sharlto Copley
Eddie Redmayne
Paul Newman
Matthew Goode
Ed Helms
Justin Bartha
Tobey Maguire
Kenneth Branagh
Sylvester Stallone
Martin Balsam
Claude Rains
Gael García Bernal
Cuba Gooding Jr.
Karl Markovics
Lee Van Cleef
Humphrey Bogart
Adam Baldwin
Billy Bob Thornton
Mark Rylance
Stephen Baldwin
Bruno Ganz
Robert Redford
Justin Theroux
Jason Robards
Oliver Reed
Richard Jenkins
Billy Crudup
Andrew Garfield
Florian Lukas
Tom Skerritt
Michael Peña
Jim Sturgess
Jack Warden
Charles Chaplin
James McAvoy
Channing Tatum
Roberto Benigni
Richard Dreyfuss
James D'Arcy
Malcolm McDowell
Peter Lorre
Armin Mueller-Stahl
James Garner
Robert Shaw
Thomas Mitchell
Giancarlo Giannini
Diego Luna
Gregory Peck
Roy Scheider
Mickey Rourke
Jim Caviezel
Dave Franco
Aksel Hennie
Richard Gere
François Cluzet
Miles Teller
Cary Grant
James Gandolfini
Frank Langella
Burghart Klaußner
Dennis Hopper
Jürgen Prochnow
Neil Patrick Harris
Armie Hammer
Danny Glover
Dan Aykroyd
Mads Mikkelsen
Djimon Hounsou
Sam Neill
Omar Sy
Peter Sellers
William Holden
Gérard Depardieu
Leonard Nimoy
Horst Buchholz
Josh Hartnett
Woody Allen
Jack Black
Orson Welles
Adam Driver
Peter O'Toole
Anthony Perkins
Takashi Shimura
John Cusack
Matt Dillon
Charles Bronson
Treat Williams
Jack Lemmon
Ashton Kutcher
Chris Pine
Zachary Quinto
Eric Bana
Bruce Greenwood
Anton Yelchin
George C. Scott
Kang-ho Song
Sun-kyun Lee
Woo-sik Choi
Joseph Cotten
Toshirô Mifune
Griffin Dunne
Arnold Schwarzenegger
Patrick Wilson
Dermot Mulroney
Sergi López
Charlton Heston
Rhys Ifans
Dennis Haysbert
Alan Alda
Jamie Bell
Irrfan Khan
Christian Slater
John Gielgud
Tom Hiddleston
Moritz Bleibtreu
Jeremy Irons
Dennis Quaid
Charlie Sheen
Jonathan Rhys Meyers
Suraj Sharma
John Savage
Barry Keoghan
Ryan Reynolds
Kiefer Sutherland
Conrad Veidt
Demián Bichir
Lucas Hedges
Matthias Habich
Sacha Baron Cohen
Timothy Dalton
Adam Sandler
Matthew Macfadyen
Mandy Patinkin
Ulrich Thomsen
Tómas Lemarquis
Donald Pleasence
Joseph Fiennes
Isaach De Bankolé
Gerard Butler
Rod Steiger
Paul Henreid
Aidan Quinn
Jack Thompson
Antonio Banderas
Fares Fares
Justin Timberlake
Logan Lerman
Noah Segan
Ulrich Tukur
Tony Chiu-Wai Leung
Choi Min-sik
Yoo Ji-Tae
Rami Malek
Rupert Friend
Steve McQueen
Kang-ho Song
Kevin Kline
James Mason
Timothy Hutton
Ricardo Darín
Anthony Quinn
Billy Crystal
Matthias Schoenaerts
Clark Gable
Gunnar Björnstrand
Lionel Barrymore
Chris Evans
Ulrich Mühe
Aaron Taylor-Johnson
Michael Pitt
