# actor_name
Leonardo DiCaprio
Anthony Hopkins
Al Pacino
Morgan Freeman
James Gandolfini
Marlon Brando
Denzel Washington
Robert De Niro
Chazz Palminteri
Tom Hanks
John Travolta
Johnny Depp
Mark Wahlberg
James Franco
Clive Owen
Steve Buscemi
John Hurt
Forest Whitaker
Jeff Bridges
Adam Sandler
Heath Ledger
Michael Caine
Clint Eastwood
Eddie Murphy
Jim Carrey
James Frecheville
Robert Englund
Joel Edgerton
Colin Firth
Jason Statham
Ben Stiller
James Caan
Robert Duvall
Wesley Snipes
Nicolas Cage
Laurence Fishburne
Shia LaBeouf
Kevin Spacey
Samuel L. Jackson
Geoffrey Rush
Ryan Reynolds
Joseph Gordon-Levitt
Dustin Hoffman
Jack Nicholson
Christopher Walken
Joaquin Phoenix
Elijah Wood
Bruce Willis
Nick Nolte
Matt Damon
Jackie Chan
Ray Liotta
Ben Affleck
Mel Gibson
Vincent Cassel
Harrison Ford
Jude Law
Owen Wilson
Colin Farrell
Michael Imperioli
Mars Callahan
Will Smith
Edward Norton
Sylvester Stallone
Danny Glover
Tobin Bell
John Cusack
John Malkovich
Christian Bale
Jet Li
Danny DeVito
Sean Penn
Philip Seymour Hoffman
Cuba Gooding Jr.
Matthew Broderick
Tim Robbins
Keanu Reeves
Russell Crowe
Ethan Hawke
Dennis Hopper
Benicio Del Toro
Gerard Butler
Joe Pesci
Emile Hirsch
Justin Timberlake
Harvey Keitel
Gary Oldman
Liam Neeson
Jake Gyllenhaal
Robert Carlyle
Viggo Mortensen
Robert Downey Jr.
Jamie Foxx
George Clooney
Kurt Russell
Ryan Gosling
Edward Furlong
Don Cheadle
Hugh Jackman
Sarah Jessica Parker
