# director_name
Steven Spielberg
Martin Scorsese
Alfred Hitchcock
Stanley Kubrick
Quentin Tarantino
Orson Welles
Francis Ford Coppola
Ridley Scott
Akira Kurosawa
Joel Coen
Ethan Coen
John Ford
Sergio Leone
Woody Allen
Billy Wilder
Clint Eastwood
Frank Capra
Charles Chaplin
Christopher Nolan
Roman Polanski
Ingmar Bergman
David Lynch
Fritz Lang
David Fincher
Peter Jackson
Federico Fellini
Tim Burton
James Cameron
Sidney Lumet
Brian De Palma
François Truffaut
Terrence Malick
David Cronenberg
William Wyler
Robert Zemeckis
Ang Lee
Howard Hawks
George Lucas
Mel Brooks
Terry Gilliam
Milos Forman
Steven Soderbergh
John Huston
Werner Herzog
Oliver Stone
David Lean
Danny Boyle
Rob Reiner
Buster Keaton
Michael Curtiz
Sam Raimi
Michael Mann
Robert Altman
Sam Peckinpah
Peter Weir
Spike Lee
Jean Renoir
Andrei Tarkovsky
Elia Kazan
John Cassavetes
Vincente Minnelli
Hayao Miyazaki
Frank Darabont
Kathryn Bigelow
George Cukor
Ron Howard
John Carpenter
Guy Ritchie
Tony Scott
Gus Van Sant
Preston Sturges
Sergei M. Eisenstein
David O. Russell
John Frankenheimer
Blake Edwards
Ernst Lubitsch
Jonathan Demme
Alejandro G. Iñárritu
Sam Mendes
Guillermo del Toro
Joseph L. Mankiewicz
Satyajit Ray
Paul Thomas Anderson
Wes Anderson
Alfonso Cuarón
Paul Verhoeven
F.W. Murnau
Robert Wise
Franco Zeffirelli
Paul Greengrass
F.W. Murnau
Don Siegel
Vittorio De Sica
John Hughes
Robert Rodriguez
Zack Snyder
Mel Gibson
Luis Buñuel
Greta Gerwig
Krzysztof Kieslowski
Jean-Luc Godard
Tom Hooper
William Friedkin
Antoine Fuqua
Sydney Pollack
Bernardo Bertolucci
John Lasseter
David Ayer
J.J. Abrams
Mike Nichols
Lars von Trier
John Milius
John McTiernan
Costa-Gavras
Cecil B. DeMille
Darren Aronofsky
Luc Besson
Doug Liman
Bryan Singer
Richard Linklater
Anthony Minghella
Curtis Hanson
Michael Haneke
D.W. Griffith
Alan Parker
Edgar Wright
Pedro Almodóvar
Barry Levinson
Michelangelo Antonioni
Cameron Crowe
Jim Jarmusch
Vittorio De Sica
Spike Jonze
Harold Ramis
Michael Moore
Shane Meadows
Ken Loach
Bobby Farrelly
Jacques Audiard
Gore Verbinski
Jay Roach
Jim Sheridan
John Landis
Richard Donner
Jason Reitman
Robert Redford
Andrew Dominik
Joss Whedon
George Miller
David Zucker
George A. Romero
Mike Leigh
David O. Russell
Neil Jordan
Wilfred Jackson
Alan J. Pakula
George Roy Hill
Michael Powell
Richard Donner
John Woo
Sofia Coppola
Sofia Coppola
Takashi Miike
Brad Bird
Alex Gibney
Bob Foss
Carol Reed
Christopher Guest
Otto Preminger
Peter Bogdanovich
David Yates
Wes Craven
Kevin Smith
Fred Zinnemann
Ava DuVernay
Jean-Pierre Jeunet
George Stevens
Frank Lloyd
Wim Wenders
Georges Méliès
Wolfgang Petersen
Leo McCarey
Lewis Milestone
Éric Rohmer
Lilly Wachowski
Neill Blomkamp
Warren Beatty
Pier Paolo Pasolini
Kar-Wai Wong
Robert Bresson
Emir Kusturica
Yasujirô Ozu
John Lasseter
Michael Haneke
Takeshi Kitano
Theodoros Angelopoulos
James Whale
Terence Fisher
Chuck Jones
Luchino Visconti
