# actor_name
Katharine Hepburn
Ingrid Bergman
Meryl Streep
Bette Davis
Vivien Leigh
Grace Kelly
Audrey Hepburn
Elizabeth Taylor
Sophia Loren
Marilyn Monroe
Greta Garbo
Mary Pickford
Rita Hayworth
Olivia de Havilland
Shirley MacLaine
Jane Fonda
Lauren Bacall
Natalie Wood
Sally Field
Judy Garland
Judi Dench
Julie Andrews
Barbara Stanwyck
Kate Winslet
Diane Keaton
Cate Blanchett
Joan Crawford
Maureen O'Hara
Ava Gardner
Claudette Colbert
Deborah Kerr
Jodie Foster
Myrna Loy
Doris Day
Ginger Rogers
Marlene Dietrich
Susan Hayward
Nicole Kidman
Carole Lombard
Natalie Portman
Joan Fontaine
Jean Arthur
Barbra Streisand
Mae West
Shirley Temple
Lillian Gish
Jean Harlow
Julianne Moore
Angelina Jolie
Penélope Cruz
Susan Sarandon
Sandra Bullock
Brigitte Bardot
Faye Dunaway
Julia Roberts
Halle Berry
Laura Linney
Charlize Theron
Hilary Swank
Catherine Deneuve
Julie Christie
Tilda Swinton
Kim Novak
Jessica Lange
Vanessa Redgrave
Helen Mirren
Diane Lane
Gena Rowlands
Shelley Winters
Anne Bancroft
Gwyneth Paltrow
Sissy Spacek
Jennifer Jones
Jessica Tandy
Glenn Close
Sharon Stone
Marisa Tomei
Marion Cotillard
Michelle Pfeiffer
Renée Zellweger
Geena Davis
Annette Bening
Frances McDormand
Jennifer Connelly
Kathy Bates
Audrey Tautou
Juliette Binoche
Sigourney Weaver
Ellen Burstyn
Keira Knightley
Meg Ryan
Patricia Clarkson
Catherine Zeta-Jones
Amy Adams
Helena Bonham Carter
Naomi Watts
Michelle Williams
Rachel Weisz
Anne Hathaway
Jessica Chastain
Meryl Streep
Katharine Hepburn
Ingrid Bergman
Bette Davis
Olivia de Havilland
Vivien Leigh
Audrey Hepburn
Greer Garson
Susan Hayward
Elizabeth Taylor
Judy Garland
Joan Fontaine
Jane Fonda
Jessica Lange
Julie Andrews
Shirley MacLaine
Sissy Spacek
Ellen Burstyn
Helen Mirren
Judi Dench
Susan Sarandon
Sally Field
Diane Keaton
Faye Dunaway
Kathy Bates
Barbra Streisand
Glenn Close
Jodie Foster
Cate Blanchett
Kate Winslet
Emma Thompson
Sophia Loren
Grace Kelly
Greta Garbo
Jennifer Jones
Sigourney Weaver
Julianne Moore
Frances McDormand
Nicole Kidman
Hilary Swank
Viola Davis
Julia Roberts
Natalie Portman
Holly Hunter
Jane Wyman
Barbara Stanwyck
Joan Crawford
Luise Rainer
Natalie Wood
Marilyn Monroe
Natalie Portman
Anne Hathaway
Talia Shire
Jennifer Lawrence
Julianne Moore
Diane Keaton
Robin Wright
Keira Knightley
Uma Thurman
Léa Seydoux
Marion Cotillard
Scarlett Johansson
Cate Blanchett
Jessica Chastain
Amy Adams
Helena Bonham Carter
Kate Winslet
Vera Farmiga
Jodie Foster
Maggie Gyllenhaal
Tilda Swinton
Gwyneth Paltrow
Frances McDormand
Winona Ryder
Meryl Streep
Carrie-Anne Moss
Jennifer Connelly
Judi Dench
Sandra Bullock
Carrie Fisher
Sigourney Weaver
Amanda Plummer
Naomie Harris
Julia Roberts
Rebecca Hall
Emma Stone
Juno Temple
Sally Field
Daryl Hannah
Rachel McAdams
Nicole Kidman
Jennifer Garner
Emily Mortimer
Naomi Watts
Carey Mulligan
Michelle Williams
Diane Kruger
Kathy Bates
Mélanie Laurent
Julia Stiles
Margot Robbie
Melissa Leo
Toni Collette
Emma Watson
Olivia Williams
Viola Davis
Laura Linney
Catherine Keener
Rosanna Arquette
Alice Braga
Patricia Clarkson
Zoe Saldana
Elliot Page
Elle Fanning
Kerry Washington
Cameron Diaz
Maggie Smith
Kristen Wiig
Joan Allen
Elizabeth Banks
Annette Bening
Rooney Mara
Jennifer Jason Leigh
Saoirse Ronan
Penélope Cruz
Lucy Liu
Kirsten Dunst
Connie Nielsen
Michelle Monaghan
Kelly Macdonald
Allison Janney
Piper Perabo
Vivica A. Fox
Katie Holmes
Jennifer Ehle
Rachel Weisz
Liv Tyler
Reese Witherspoon
Bridget Moynahan
Lea Thompson
Emily Blunt
Stephanie Kurtzuba
Catherine Zeta-Jones
Hilary Swank
Amy Ryan
Rosamund Pike
Sarah Paulson
Michelle Pfeiffer
Ellen Burstyn
Emily Watson
Kim Basinger
Octavia Spencer
Marcia Gay Harden
Alison Pill
Anna Kendrick
Charlize Theron
Marisa Tomei
Franka Potente
Karen Allen
Frances Fisher
Isla Fisher
Laura Dern
Sean Young
Kristen Stewart
Beverly D'Angelo
Mary Steenburgen
Maria Bello
Abbie Cornish
Dakota Fanning
Jennifer Morrison
Heather Graham
Angelina Jolie
Kate Mara
Vanessa Redgrave
Alexandra Maria Lara
Mia Wasikowska
Chloë Sevigny
Louise Fletcher
Bonnie Bedelia
Abigail Breslin
Mary McDonnell
Lorraine Bracco
Natascha McElhone
Helen Hunt
Shelley Duvall
