,title,imdb_id,budget,revenue
0,Kate & Leopold,11232,48000000,76019048
1,Muhomatsu no issho,895979,0,0
2,The Tango of the Widower and Its Distorting Mirror,602986,0,0
3,Bucharest Memories,741942,0,0
4,The Other Side of the Wind,299782,12000000,0
5,The Naked Monster,29163,350000,0
6,Grizzly II: Revenge,38258,7500000,0
7,Crime and Punishment,109809,0,0
8,The Wandering Soap Opera,467254,0,0
9,West from North Goes South,-1,-1,-1
10,Bigfoot,413644,30000000,46372519
11,The Fantasticks,62127,10000000,0
12,For the Cause,110977,0,0
13,Justifiable Homicide,474851,0,0
14,The Silent Force,151007,0,0
15,Consequence,37333,0,0
16,Gang,9766,30000000,41480851
17,The Incorporated,498761,0,0
18,Mariette in Ecstasy,492619,0,0
19,Remembering Mario,-1,-1,-1
20,Still Waters Burn,-1,-1,-1
21,What Is It?,54506,0,0
22,White Hotel,292980,0,0
23,Glitter,10696,22000000,5271666
24,The Attic Expeditions,17140,1000000,0
25,In the Mood for Love,654086,0,0
26,Beyond the Pale,291259,0,0
27,Chinese Coffee,49511,0,0
28,The Dancer Upstairs,20689,0,0
29,Don's Plum,37857,0,6297
30,The Junior Defenders,107182,0,0
31,Heavy Metal 2000,16225,15000000,0
32,Love 101,51181,0,0
33,Meet the Mosaics,-1,-1,-1
34,AKA a Way with Murder,-1,-1,-1
35,Nothing Sacred,37650,0,0
36,Pushing the Envelope,-1,-1,-1
37,My Apocalypse,165200,0,0
38,Random Shooting in L.A.,-1,-1,-1
39,The Sorcerer's Apprentice,27022,150000000,215283742
40,State and Main,21991,0,0
41,Songs from the Second Floor,34070,0,80334
42,Vinyl,350998,0,0
43,Vulgar,19085,120000,14904
44,"Berlin Diaries, 1940-45",-1,-1,-1
45,Between the Sheets,584762,0,0
46,Camarate,50230,0,0
47,April Captains,54380,6105121,0
48,Chicken Run,7443,45000000,224834564
49,Fantastic Four,166424,120000000,167977596
50,Frida,375794,0,12421716
51,From Hell,768,35000000,74558115
52,The Highwayman,272452,0,0
53,Last Flight of the Raven,-1,-1,-1
54,Lion of Oz,146499,0,0
55,The Lord of the Rings: The Fellowship of the Ring,120,93000000,871368364
56,The Million Dollar Hotel,318,8000000,0
57,Mission: Impossible II,955,125000000,546388105
58,Resident Evil,460458,40000000,5500000
59,Ricochet River,164074,0,0
60,The Shipping News,6440,38000000,24690441
61,Trance,68727,20000000,24261569
62,X-Men,246655,178000000,543934787
63,Men in Black II,608,140000000,445135288
64,Titan A.E.,7450,75000000,36754634
65,The Emperor's New Groove,11688,100000000,169327687
66,Corpse Bride,3933,40000000,118090836
67,Moonlight Blade,-1,-1,-1
68,On Parole,201915,0,0
69,Star Wars: Episode II - Attack of the Clones,1894,120000000,649398328
70,Star Wars: Episode III - Revenge of the Sith,1895,113000000,850000000
71,Lured Innocence,209084,0,0
72,Serial Killing 4 Dummys,27743,0,0
73,Return to Me,2621,24000000,36609995
74,Angel,399579,170000000,404852543
75,Bruno,265339,0,0
76,The Elf Who Didn't Believe,248740,0,0
77,Burning Down the House,252682,0,0
78,American Neurotic,-1,-1,-1
79,Deep Blue,703745,5000000,0
80,Sticks,624932,0,0
81,Heartbreakers,10833,35000000,57756408
