,title,imdb_id,budget,revenue
0,The Savior for Sale,818082,0,0
1,The Father Knight,-1,-1,-1
2,South Island,293392,0,0
3,Gods and Monsterss,-1,-1,-1
4,If You Build It: 30 Years of Field of Dreams,862019,0,0
5,Private Property,251421,0,0
6,Juice WRLD: Into the Abyss,888491,0,0
7,The Eternal Flame,451867,0,0
8,The GiovanniLoud Movie,-1,-1,-1
9,Supercool,514466,10000000,0
10,Blood Harvest,858747,450000,0
11,The Demon of Serling,-1,-1,-1
12,Vernon,10961,0,69136
13,Cougars crave young kittens 3,-1,-1,-1
14,Listeners: The Whispering,786205,1000000,0
15,Fan Base,748977,0,0
16,The Mighty Six Movie,-1,-1,-1
17,The Interview: Night of 26/11,866052,0,0
18,Tunka Tunka,845571,0,0
19,I Write My Life,874466,0,0
20,Wilmington on Fire: Chapter II,-1,-1,-1
21,Roman,413362,22000000,11942780
22,Holding on to Jah,412128,0,0
23,A Week of Winter,-1,-1,-1
24,The Collins Story: Connecting the Moon to the Earth - Steps to the Moon,887778,0,0
25,Love Fever,314931,0,0
26,Bad Choices,-1,-1,-1
27,Desires of the Heart,645271,0,0
28,A Little Pond,120247,0,0
29,Ash,26225,0,0
30,WHAT AWAITS US: A Beyond Story,-1,-1,-1
31,3,559,258000000,890871626
32,Dump Truck Woman vs. King of Hormones,-1,-1,-1
33,Faux,493905,0,0
34,From a Whisper,39895,1100000,1400000
35,Soul of the Ocean,-1,-1,-1
36,Mobile boyfriend,104767,0,0
37,The Clink of Ice,50845,0,0
38,Loveholic,170435,0,0
39,Mai Mai Miracle,64809,0,0
40,The Enemy,15876,0,0
41,The Haunting of Ellie Rose,382052,0,0
42,Rain from Stars,-1,-1,-1
43,Puzzle,492998,0,2266853
44,Running Turtle,26781,0,0
45,No Place to Rest,285436,0,0
46,Sunlight Jr.,173908,0,0
47,Sweetgrass,50071,0,206728
48,The Host,72710,44000000,63327201
49,For Sale,91208,0,0
50,Tangled,38757,260000000,592461732
51,Ambrosio,235193,0,0
52,Little Nicholas' Treasure,740844,0,0
53,Listening to Kenny G,858016,0,0
54,Ex Ex Ex,446044,0,0
55,Dashcam,835325,0,0
56,Flying Boat,852604,0,0
57,Digiday 2020,-1,-1,-1
58,Kinneret: Sea of Life,-1,-1,-1
59,A Star Is Born,332562,36000000,433888866
60,Alchemy of Solitude,-1,-1,-1
61,Coyote,6282,45000000,113916474
62,Dough,299780,0,0
63,Office Affair,405327,0,0
64,Sisters and the Shrink 2,-1,-1,-1
65,Not A Christmas Story,850,3300000,20653717
66,Spy Kids 4-D: All the Time in the World,-1,-1,-1
67,Divine Souls: Forever Young,-1,-1,-1
68,Fragrant and Flirty,-1,-1,-1
69,Pretend to Be Serious,820149,0,0
70,Udanpirappe,858333,0,0
71,Reassume,-1,-1,-1
72,Gods Are Watching,-1,-1,-1
73,Ukiyo-e: Floating World Images,440203,0,0
74,A Rabbit's Trails,-1,-1,-1
75,Action!!!,454283,19000000,5059608
76,Adrift: People of a Lesser God,855189,0,0
77,Atomic Mom,322708,0,0
78,Authoring Action,-1,-1,-1
79,Better Mus' Come,163313,0,0
80,Blood & Curry,-1,-1,-1
81,Currency,306158,0,0
82,Document,87489,0,0
83,Dear Jack,32647,50000,0
84,The Moretti Brothers,-1,-1,-1
85,20 Cigarettes,44872,0,0
86,South Park: Post COVID,874299,0,0
87,Papers,551653,0,0
88,The Photo Grapher,-1,-1,-1
89,Thrust,444796,0,0
90,Greed and Loyalty,-1,-1,-1
91,"Love, Misery, and the Goth Girl",-1,-1,-1
92,Deadly Dread,552836,0,0
93,It Wants Blood 2,240296,0,0
94,Jade Brooks Must Die!,-1,-1,-1
95,Wimbledon Dreams,-1,-1,-1
96,Basic Psych,889953,0,0
97,Honest Days,873037,0,0
98,Caillou and Penny,-1,-1,-1
99,Myths & Mutants,-1,-1,-1
100,The Caviar Connection,829052,0,0
101,Eden II,44734,0,0
102,Red Light,25807,0,0
103,Guns of Eden,-1,-1,-1
104,The Balcony Movie,846892,0,0
105,Bucolic,846891,72000,0
106,Man Bear,658302,0,0
107,Infernum Obscura,-1,-1,-1
108,Interracial Double Penetrations 5,-1,-1,-1
109,Interracial Double Penetrations 5,-1,-1,-1
110,Mad Cow: The Fall of the ZDA,-1,-1,-1
111,Making Fifty Million,-1,-1,-1
112,Map the Music,545843,0,0
113,Boys Soccer Club,-1,-1,-1
114,Multico,708082,0,0
115,Big White Tits & Large Black Dicks #8,-1,-1,-1
116,Nicotine Bees,-1,-1,-1
117,The Dark Side of Candice Dare: Interracial Showcase,-1,-1,-1
118,Interracial Anal Creampies,-1,-1,-1
119,Watching My Mommy Go Black 18,-1,-1,-1
120,Overload,763861,0,0
121,Professor,420622,0,1584759
122,Raw Faith,131245,0,1486
123,Mexican Fighter,242509,0,0
124,Silence Is Sound,631292,0,0
125,Sundance Skippy,473553,0,0
126,Swallow Your Pride,-1,-1,-1
127,Living/Dead,34004,500,0
128,The Legend of Sofa Kingdom,601802,7500,0
129,The Middle of the Middle,-1,-1,-1
130,Trip,578908,0,0
131,Who Loves Judas?,-1,-1,-1
132,Wicked Bad,-1,-1,-1
133,Boys Feels: I Love Trouble,862377,0,0
134,Pursuit: The Search for Bigfoot,-1,-1,-1
135,Tiger,628534,0,0
136,Unforeseen Consequences: A Half-Life Documentary,-1,-1,-1
137,Water Wars,223758,1000000,0
138,De-Escalation,-1,-1,-1
139,See You Next Christmas,842500,0,0
140,The Elegy of Laurel,855833,0,0
141,Unique: A New Musical,-1,-1,-1
142,Green Arrow: Duality,-1,-1,-1
143,Cursed Cliffs,-1,-1,-1
144,Bloody Nightmares,-1,-1,-1
145,Mayfly,327585,0,0
146,That Orchestra with the Broken Instruments,876462,0,0
147,Finding Destiny,64882,0,0
148,Raiders of the Lost Clam to the Future,-1,-1,-1
149,"Restoration, Inc",-1,-1,-1
150,Christmas Is Canceled,899382,0,0
151,PinPin Four Gapers Zero,-1,-1,-1
152,The Rise and Fall of the Flying Squirrel,-1,-1,-1
153,Echoes of the Holocaust,-1,-1,-1
154,Life 2.0,85039,0,0
155,Meek's Cutoff,57120,0,876302
156,Public Hearing,239132,0,0
157,The Agony and the Ecstasy of Phil Spector,87387,0,0
158,The Leah Daughtry Story: A Woman of Faith and Politics,-1,-1,-1
159,Under Jakob's Ladder,291556,0,0
160,Harlistas: An American Journey,278950,0,0
161,When North Winds Blow,-1,-1,-1
162,The Robbers,40682,0,0
163,Striped,14574,12500000,20416563
164,The Girl in Cabin 13: A Psychological Horror,-1,-1,-1
165,Medicine Game,337508,0,0
166,Venturer,500056,0,0
167,Envy,10710,40000000,0
168,Merciless Light,861245,0,0
169,Finding Kendrick Johnson,857513,0,0
170,The Anxiety of Laughing,-1,-1,-1
171,From My Eyes,356732,0,0
172,"Us, Too",574823,0,0
173,Wild Card,265208,30000000,0
174,Gratitude,600735,0,0
175,Motel Singers,-1,-1,-1
176,Whiskey A Go Go,-1,-1,-1
177,"Sun, Soil & Water",-1,-1,-1
178,Blast Radius,-1,-1,-1
179,Crossfire,423878,0,0
180,Migz Across America: Episode I - The Idea,-1,-1,-1
181,9 Year Old Runs Away... Meets Kidnapper,-1,-1,-1
182,Coastline: Waves from the Pacific,-1,-1,-1
183,Strange Fruit: Tale of a Black Girl Lost,-1,-1,-1
184,Brandy Diaries,-1,-1,-1
185,Orey Bamardhi,596652,0,0
186,Songs of Revenge,-1,-1,-1
187,How to Find Love in a Pandemic,-1,-1,-1
188,The Conversion,903113,0,0
189,Eighteen,898639,0,0
190,Yearning for Karim,-1,-1,-1
191,Interspecies,878794,0,0
192,Burning Man: The Musical,878588,0,0
193,The Red Kite Project,-1,-1,-1
194,Tierra madre,275462,0,0
195,Yard Sale,366651,0,0
196,All Kids Count,-1,-1,-1
197,Area 51,57876,5000000,7556
198,Bridges,535292,33000000,49939757
199,Earth's Women,416771,0,0
200,Khan kluay 2,112956,0,0
201,Port of Return,260707,0,0
202,Baby Oopsie,853764,0,0
203,Disorder,119532,0,0
204,Drifting Away,415513,0,0
205,Enlightenment Film,414230,0,0
206,Dangerous Cult,-1,-1,-1
207,God Lives in the Himalayas,904808,0,0
208,Hot Summer Days,37304,0,0
209,"How Are You, Dad?",155769,0,0
210,The Chase,10694,26000000,8009329
211,Lost Paradise in Tokyo,254683,0,0
212,Ten9Eight: Shoot for the Moon,104831,0,0
213,The Border City 2,414228,0,0
214,Come Mother,-1,-1,-1
215,Viewfinder,400877,0,0
216,Wish,550205,0,25860000
217,Zero,295011,0,0
218,Hell House,359246,0,0
219,Dickless Zombies,887689,0,0
220,Love's Kitchen,66945,0,0
221,Glimpse,124461,0,0
222,Good Morning Miss America,-1,-1,-1
223,Hold Your Fire,859350,0,0
224,The Special People,-1,-1,-1
225,Looking for Ai,-1,-1,-1
226,Boardwalk Republic,-1,-1,-1
227,Deadly Sister,-1,-1,-1
228,Haint Blue,-1,-1,-1
229,Shackin' up,182993,0,0
230,"Gung Fu, JKD & MMA",-1,-1,-1
231,Prey,853588,0,0
232,Isteni kéz,877053,0,0
233,Sad in the Walls,-1,-1,-1
234,Faith,467433,0,2587072
235,A Chicken's Life,778086,0,0
236,Angel Street Bride,-1,-1,-1
237,Cold Cabin,-1,-1,-1
238,Hay Fever,120573,0,0
239,The New Rijksmuseum,202901,0,0
240,Rise and Grind,-1,-1,-1
